,instant,Date of the ride,season,holiday,weekday,Weather situation,temp,atemp,Relative humidity,windspeed,Non-registered user rentals,Registered user rentals,Total Rentals
20,21,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 40 degree celsius,0.4091,87 %,0.2537,11,25,36
21,22,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 40 degree celsius,0.4091,87 %,0.194,3,31,34
22,23,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 40 degree celsius,0.4091,94 %,0.2239,11,17,28
23,24,01-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 46 degree celsius,0.19993489148580967,88 %,0.2985,15,24,39
24,25,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 46 degree celsius,0.4545,88 %,0.2985,4,13,17
25,26,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 44 degree celsius,0.4394,94 %,0.2537,1,16,17
26,27,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 42 degree celsius,0.4242,100 %,0.2836,1,8,9
27,28,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 46 degree celsius,0.4545,94 %,0.194,2,4,6
28,29,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 46 degree celsius,0.19993489148580967,94 %,0.194,2,1,3
29,30,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 42 degree celsius,0.4242,77 %,0.2985,0,2,2
30,31,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 40 degree celsius,0.4091,76 %,0.194,0,1,1
31,32,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 40 degree celsius,0.4091,71 %,0.2239,0,8,8
32,33,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 38 degree celsius,0.19993489148580967,76 %,0.2239,1,19,20
33,34,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 36 degree celsius,0.3485,81 %,0.2239,7,46,53
34,35,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 36 degree celsius,0.3333,71 %,0.2537,16,54,70
35,36,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 36 degree celsius,0.3333,66 %,0.2985,20,73,93
36,37,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 36 degree celsius,0.3485,66 %,0.1343,11,64,75
37,38,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 36 degree celsius,0.19993489148580967,76 %,0.194,4,55,59
38,39,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 34 degree celsius,0.3333,81 %,0.1642,19,55,74
39,40,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 34 degree celsius,0.3333,71 %,0.1642,9,67,76
40,41,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 34 degree celsius,0.3333,56 %,0.194,7,58,65
41,42,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 36 degree celsius,0.3333,46 %,0.3284,10,43,53
42,43,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 32 degree celsius,0.2879,42 %,0.4478,1,29,30
43,44,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 30 degree celsius,0.19993489148580967,39 %,0.3582,5,17,22
44,45,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2273,44 %,0.3284,11,20,31
45,46,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2121,44 %,0.2985,0,9,9
46,47,02-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2273,47 %,0.1642,0,8,8
47,48,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,44 %,0.3582,0,5,5
48,49,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.19993489148580967,44 %,0.4179,0,2,2
49,50,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1364,47 %,0.3881,0,1,1
50,51,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1364,47 %,0.2836,0,3,3
51,52,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1061,50 %,0.3881,0,30,30
52,53,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1364,50 %,0.194,1,63,64
53,54,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1212,50 %,0.2836,1,153,154
54,55,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1364,43 %,0.3881,7,81,88
55,56,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.1667,43 %,0.2537,11,33,44
56,57,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,40 %,0.3284,10,41,51
57,58,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,35 %,0.2985,13,48,61
58,59,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.19993489148580967,35 %,0.2836,8,53,61
59,60,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2424,30 %,0.2836,11,66,77
60,61,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2424,30 %,0.2537,14,58,72
61,62,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2424,30 %,0.2537,9,67,76
63,64,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2576,32 %,0.1045,9,148,157
64,65,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2576,47 %,0.0,8,102,110
65,66,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.19993489148580967,47 %,0.1045,3,49,52
66,67,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.197,64 %,0.1343,3,49,52
67,68,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,69 %,0.1343,0,20,20
68,69,03-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.2121,55 %,0.1045,1,11,12
69,70,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.19993489148580967,55 %,0.1045,0,5,5
70,71,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1818,59 %,0.1045,0,2,2
71,72,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,63 %,0.1343,0,1,1
72,73,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1818,63 %,0.0896,0,2,2
73,74,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1515,68 %,0.1045,0,4,4
74,75,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1515,74 %,0.1045,0,36,36
75,76,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 12 degree celsius,0.1515,74 %,0.1343,2,92,94
76,77,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 14 degree celsius,0.1515,69 %,0.1642,2,177,179
77,78,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.1515,64 %,0.2239,2,98,100
78,79,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.1364,69 %,0.3284,5,37,42
79,80,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2121,51 %,0.2985,7,50,57
80,81,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2273,51 %,0.1642,12,66,78
81,82,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2273,56 %,0.194,18,79,97
82,83,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2576,52 %,0.2239,9,54,63
83,84,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 28 degree celsius,0.2727,52 %,0.2537,17,48,65
84,85,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 30 degree celsius,0.2879,49 %,0.2537,15,68,83
86,87,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2576,48 %,0.194,3,179,182
87,88,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2576,48 %,0.1045,2,110,112
88,89,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2576,48 %,0.1045,1,53,54
89,90,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2727,64 %,0.0,0,48,48
90,91,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2576,64 %,0.0896,1,34,35
91,92,04-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2273,69 %,0.0896,2,9,11
92,93,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2576,64 %,0.0,0,6,6
93,94,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.197,74 %,0.0896,0,6,6
94,95,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.197,74 %,0.0896,0,2,2
95,96,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2273,48 %,0.2239,0,2,2
96,97,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2273,47 %,0.1642,0,3,3
97,98,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.197,47 %,0.2239,0,33,33
98,99,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.1818,43 %,0.194,1,87,88
100,101,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,37 %,0.3284,6,109,115
101,102,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,37 %,0.3284,4,53,57
102,103,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2273,33 %,0.3284,12,34,46
103,104,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2273,33 %,0.3284,5,74,79
104,105,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 28 degree celsius,0.2576,30 %,0.2985,6,65,71
105,106,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 30 degree celsius,0.2879,28 %,0.194,10,52,62
106,107,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 30 degree celsius,0.2879,28 %,0.194,7,55,62
107,108,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 30 degree celsius,0.3182,28 %,0.0896,4,85,89
109,110,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2424,38 %,0.1343,3,166,169
110,111,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 24 degree celsius,0.2576,38 %,0.1045,5,127,132
111,112,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2273,47 %,0.1642,7,82,89
112,113,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.197,51 %,0.194,3,40,43
113,114,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.197,55 %,0.1343,1,41,42
114,115,05-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2576,47 %,0.0,1,18,19
115,116,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.2424,55 %,0.0,0,11,11
116,117,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.2273,64 %,0.0,0,4,4
117,118,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.2273,64 %,0.0,0,2,2
119,120,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 14 degree celsius,0.1818,69 %,0.0896,0,4,4
120,121,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 14 degree celsius,0.1667,63 %,0.1045,0,36,36
121,122,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 16 degree celsius,0.2273,59 %,0.0,0,95,95
123,124,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.2424,51 %,0.0,6,116,122
124,125,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2576,47 %,0.0,3,42,45
125,126,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2576,44 %,0.0896,2,57,59
126,127,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2879,35 %,0.0,6,78,84
127,128,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2727,35 %,0.1045,12,55,67
128,129,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 28 degree celsius,0.2727,36 %,0.1642,11,59,70
129,130,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 28 degree celsius,0.2727,36 %,0.0,8,54,62
130,131,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 26 degree celsius,0.2576,38 %,0.1642,12,74,86
131,132,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2273,51 %,0.1642,9,163,172
133,134,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.2576,55 %,0.0896,3,109,112
134,135,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2121,51 %,0.1642,3,66,69
135,136,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2121,55 %,0.2239,0,48,48
136,137,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 22 degree celsius,0.2121,51 %,0.2836,1,51,52
137,138,06-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,59 %,0.194,4,19,23
138,139,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,64 %,0.194,4,13,17
139,140,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,69 %,0.2239,2,5,7
140,141,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,69 %,0.2239,0,1,1
141,142,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2121,69 %,0.1343,0,1,1
142,143,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 22 degree celsius,0.2727,55 %,0.0,0,5,5
143,144,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2576,69 %,0.0,8,26,34
144,145,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.2121,69 %,0.1343,8,76,84
146,147,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 20 degree celsius,0.1818,47 %,0.2985,9,125,134
147,148,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 22 degree celsius,0.197,37 %,0.3284,16,47,63
148,149,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,40 %,0.2239,19,48,67
149,150,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,37 %,0.2537,9,50,59
150,151,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.1818,37 %,0.2836,9,64,73
151,152,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.197,40 %,0.2537,7,43,50
152,153,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2121,37 %,0.1642,9,63,72
153,154,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 20 degree celsius,0.2121,37 %,0.1642,5,82,87
156,157,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 16 degree celsius,0.197,55 %,0.0896,3,92,95
157,158,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.2121,47 %,0.1045,1,50,51
158,159,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Clear, Few clouds, Partly cloudy",feels like 18 degree celsius,0.197,47 %,0.1343,0,39,39
159,160,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.197,43 %,0.1642,2,34,36
160,161,07-01-2011,Spring,Not a Holiday,Weekend or Holiday,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.197,51 %,0.1642,1,14,15
161,162,08-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.197,51 %,0.1642,1,24,25
162,163,08-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.2121,55 %,0.0896,1,15,16
163,164,08-01-2011,Spring,Not a Holiday,Working day,"Mist+Cloudy, Mist+Broken clouds, Mist+Few clouds, Mist",feels like 18 degree celsius,0.2424,55 %,0.0,3,13,16
165,166,08-01-2011,Spring,Not a Holiday,Working day,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain +Scattered clouds",feels like 18 degree celsius,0.197,55 %,0.1642,0,1,1
